lat,lon
43.085315,-77.6846726
43.0857363,-77.6842708
43.0861168,-77.6838918
43.0864206,-77.6835263
43.0865586,-77.6833603
43.0868643,-77.682878
43.0870474,-77.6824919
43.0872867,-77.6819204
43.0873677,-77.6816009
43.0873854,-77.6815308
43.0875443,-77.680855
43.0876141,-77.680158
43.087633,-77.679756
